"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","303","Create course","LMS service","Sat Feb 07 18:37:10 UTC 2026","passed","Sat Feb 07 18:37:10 UTC 2026","Create entity","Courses","",""
"","13","Get user me","LMS service","Sat Feb 07 18:37:18 UTC 2026","passed","Sat Feb 07 18:37:18 UTC 2026","Get entity","Users","",""
"","289","Create user","LMS service","Sat Feb 07 18:37:17 UTC 2026","passed","Sat Feb 07 18:37:17 UTC 2026","Create entity","Users","",""
"","283","Get exercises","LMS service","Sat Feb 07 18:37:13 UTC 2026","passed","Sat Feb 07 18:37:14 UTC 2026","Get entities","Exercises","",""
"","556","Login with correct email and password","LMS service","Sat Feb 07 18:37:08 UTC 2026","passed","Sat Feb 07 18:37:09 UTC 2026","Login","Authentication","",""
"","265","Create file with empty directory","LMS service","Sat Feb 07 18:37:16 UTC 2026","passed","Sat Feb 07 18:37:16 UTC 2026","Validate entity","Files","",""
"","287","Get exercise","LMS service","Sat Feb 07 18:37:12 UTC 2026","passed","Sat Feb 07 18:37:12 UTC 2026","Get entity","Exercises","",""
"","18","Create file with empty filename","LMS service","Sat Feb 07 18:37:15 UTC 2026","passed","Sat Feb 07 18:37:15 UTC 2026","Validate entity","Files","",""
"","299","Get courses","LMS service","Sat Feb 07 18:37:09 UTC 2026","passed","Sat Feb 07 18:37:09 UTC 2026","Get entities","Courses","",""
"","554","Create user","LMS service","Sat Feb 07 18:37:17 UTC 2026","passed","Sat Feb 07 18:37:17 UTC 2026","Create entity","Users","",""
"","297","Delete file","LMS service","Sat Feb 07 18:37:16 UTC 2026","passed","Sat Feb 07 18:37:16 UTC 2026","Delete entity","Files","",""
"","300","Update course","LMS service","Sat Feb 07 18:37:10 UTC 2026","passed","Sat Feb 07 18:37:10 UTC 2026","Update entity","Courses","",""
"","25","Update exercise","LMS service","Sat Feb 07 18:37:11 UTC 2026","passed","Sat Feb 07 18:37:11 UTC 2026","Update entity","Exercises","",""
"","554","Create user","LMS service","Sat Feb 07 18:37:16 UTC 2026","passed","Sat Feb 07 18:37:17 UTC 2026","Create entity","Users","",""
"","14","Get file","LMS service","Sat Feb 07 18:37:15 UTC 2026","passed","Sat Feb 07 18:37:15 UTC 2026","Get entity","Files","",""
"","295","Create exercise","LMS service","Sat Feb 07 18:37:11 UTC 2026","passed","Sat Feb 07 18:37:11 UTC 2026","Create entity","Exercises","",""
"","271","Get file with incorrect file id","LMS service","Sat Feb 07 18:37:17 UTC 2026","passed","Sat Feb 07 18:37:17 UTC 2026","Validate entity","Files","",""
"","19","Create file","LMS service","Sat Feb 07 18:37:14 UTC 2026","passed","Sat Feb 07 18:37:14 UTC 2026","Create entity","Files","",""
"","21","Delete exercise","LMS service","Sat Feb 07 18:37:13 UTC 2026","passed","Sat Feb 07 18:37:13 UTC 2026","Delete entity","Exercises","",""
