"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","545","Create user","LMS service","Tue Dec 02 12:11:52 UTC 2025","passed","Tue Dec 02 12:11:52 UTC 2025","Create entity","Users","",""
"","551","Login with correct email and password","LMS service","Tue Dec 02 12:11:44 UTC 2025","passed","Tue Dec 02 12:11:45 UTC 2025","Login","Authentication","",""
"","558","Create user","LMS service","Tue Dec 02 12:11:52 UTC 2025","passed","Tue Dec 02 12:11:53 UTC 2025","Create entity","Users","",""
"","23","Update exercise","LMS service","Tue Dec 02 12:11:47 UTC 2025","passed","Tue Dec 02 12:11:47 UTC 2025","Update entity","Exercises","",""
"","295","Delete file","LMS service","Tue Dec 02 12:11:52 UTC 2025","passed","Tue Dec 02 12:11:52 UTC 2025","Delete entity","Files","",""
"","24","Get courses","LMS service","Tue Dec 02 12:11:45 UTC 2025","passed","Tue Dec 02 12:11:45 UTC 2025","Get entities","Courses","",""
"","254","Create file with empty filename","LMS service","Tue Dec 02 12:11:50 UTC 2025","passed","Tue Dec 02 12:11:50 UTC 2025","Validate entity","Files","",""
"","18","Delete exercise","LMS service","Tue Dec 02 12:11:48 UTC 2025","passed","Tue Dec 02 12:11:48 UTC 2025","Delete entity","Exercises","",""
"","23","Create exercise","LMS service","Tue Dec 02 12:11:47 UTC 2025","passed","Tue Dec 02 12:11:47 UTC 2025","Create entity","Exercises","",""
"","30","Create course","LMS service","Tue Dec 02 12:11:46 UTC 2025","passed","Tue Dec 02 12:11:46 UTC 2025","Create entity","Courses","",""
"","35","Update course","LMS service","Tue Dec 02 12:11:46 UTC 2025","passed","Tue Dec 02 12:11:46 UTC 2025","Update entity","Courses","",""
"","11","Get user me","LMS service","Tue Dec 02 12:11:54 UTC 2025","passed","Tue Dec 02 12:11:54 UTC 2025","Get entity","Users","",""
"","263","Create file with empty directory","LMS service","Tue Dec 02 12:11:51 UTC 2025","passed","Tue Dec 02 12:11:52 UTC 2025","Validate entity","Files","",""
"","15","Get file","LMS service","Tue Dec 02 12:11:50 UTC 2025","passed","Tue Dec 02 12:11:50 UTC 2025","Get entity","Files","",""
"","18","Create file","LMS service","Tue Dec 02 12:11:49 UTC 2025","passed","Tue Dec 02 12:11:49 UTC 2025","Create entity","Files","",""
"","266","Get file with incorrect file id","LMS service","Tue Dec 02 12:11:52 UTC 2025","passed","Tue Dec 02 12:11:52 UTC 2025","Validate entity","Files","",""
"","285","Create user","LMS service","Tue Dec 02 12:11:52 UTC 2025","passed","Tue Dec 02 12:11:53 UTC 2025","Create entity","Users","",""
"","24","Get exercise","LMS service","Tue Dec 02 12:11:48 UTC 2025","passed","Tue Dec 02 12:11:48 UTC 2025","Get entity","Exercises","",""
"","21","Get exercises","LMS service","Tue Dec 02 12:11:49 UTC 2025","passed","Tue Dec 02 12:11:49 UTC 2025","Get entities","Exercises","",""
