"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","257","Create file with empty filename","LMS service","Sat Feb 07 18:24:12 UTC 2026","passed","Sat Feb 07 18:24:12 UTC 2026","Validate entity","Files","",""
"","11","Get user me","LMS service","Sat Feb 07 18:24:15 UTC 2026","passed","Sat Feb 07 18:24:15 UTC 2026","Get entity","Users","",""
"","553","Login with correct email and password","LMS service","Sat Feb 07 18:24:06 UTC 2026","passed","Sat Feb 07 18:24:06 UTC 2026","Login","Authentication","",""
"","293","Delete file","LMS service","Sat Feb 07 18:24:13 UTC 2026","passed","Sat Feb 07 18:24:13 UTC 2026","Delete entity","Files","",""
"","23","Create exercise","LMS service","Sat Feb 07 18:24:08 UTC 2026","passed","Sat Feb 07 18:24:08 UTC 2026","Create entity","Exercises","",""
"","557","Create user","LMS service","Sat Feb 07 18:24:14 UTC 2026","passed","Sat Feb 07 18:24:15 UTC 2026","Create entity","Users","",""
"","33","Create course","LMS service","Sat Feb 07 18:24:07 UTC 2026","passed","Sat Feb 07 18:24:07 UTC 2026","Create entity","Courses","",""
"","258","Create file with empty directory","LMS service","Sat Feb 07 18:24:13 UTC 2026","passed","Sat Feb 07 18:24:13 UTC 2026","Validate entity","Files","",""
"","25","Create file","LMS service","Sat Feb 07 18:24:11 UTC 2026","passed","Sat Feb 07 18:24:11 UTC 2026","Create entity","Files","",""
"","18","Get exercise","LMS service","Sat Feb 07 18:24:10 UTC 2026","passed","Sat Feb 07 18:24:10 UTC 2026","Get entity","Exercises","",""
"","264","Get file with incorrect file id","LMS service","Sat Feb 07 18:24:14 UTC 2026","passed","Sat Feb 07 18:24:14 UTC 2026","Validate entity","Files","",""
"","288","Create user","LMS service","Sat Feb 07 18:24:14 UTC 2026","passed","Sat Feb 07 18:24:14 UTC 2026","Create entity","Users","",""
"","560","Create user","LMS service","Sat Feb 07 18:24:13 UTC 2026","passed","Sat Feb 07 18:24:14 UTC 2026","Create entity","Users","",""
"","29","Update course","LMS service","Sat Feb 07 18:24:07 UTC 2026","passed","Sat Feb 07 18:24:07 UTC 2026","Update entity","Courses","",""
"","14","Get file","LMS service","Sat Feb 07 18:24:12 UTC 2026","passed","Sat Feb 07 18:24:12 UTC 2026","Get entity","Files","",""
"","26","Get courses","LMS service","Sat Feb 07 18:24:06 UTC 2026","passed","Sat Feb 07 18:24:06 UTC 2026","Get entities","Courses","",""
"","20","Update exercise","LMS service","Sat Feb 07 18:24:08 UTC 2026","passed","Sat Feb 07 18:24:09 UTC 2026","Update entity","Exercises","",""
"","24","Get exercises","LMS service","Sat Feb 07 18:24:11 UTC 2026","passed","Sat Feb 07 18:24:11 UTC 2026","Get entities","Exercises","",""
"","19","Delete exercise","LMS service","Sat Feb 07 18:24:10 UTC 2026","passed","Sat Feb 07 18:24:10 UTC 2026","Delete entity","Exercises","",""
