"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","292","Update exercise","LMS service","Tue Dec 02 14:16:52 UTC 2025","passed","Tue Dec 02 14:16:52 UTC 2025","Update entity","Exercises","",""
"","260","Create file with empty filename","LMS service","Tue Dec 02 14:16:55 UTC 2025","passed","Tue Dec 02 14:16:55 UTC 2025","Validate entity","Files","",""
"","270","Get file with incorrect file id","LMS service","Tue Dec 02 14:16:57 UTC 2025","passed","Tue Dec 02 14:16:57 UTC 2025","Validate entity","Files","",""
"","557","Create user","LMS service","Tue Dec 02 14:16:57 UTC 2025","passed","Tue Dec 02 14:16:58 UTC 2025","Create entity","Users","",""
"","31","Get courses","LMS service","Tue Dec 02 14:16:49 UTC 2025","passed","Tue Dec 02 14:16:49 UTC 2025","Get entities","Courses","",""
"","263","Create file with empty directory","LMS service","Tue Dec 02 14:16:56 UTC 2025","passed","Tue Dec 02 14:16:56 UTC 2025","Validate entity","Files","",""
"","22","Delete file","LMS service","Tue Dec 02 14:16:56 UTC 2025","passed","Tue Dec 02 14:16:56 UTC 2025","Delete entity","Files","",""
"","18","Get exercise","LMS service","Tue Dec 02 14:16:52 UTC 2025","passed","Tue Dec 02 14:16:52 UTC 2025","Get entity","Exercises","",""
"","290","Delete exercise","LMS service","Tue Dec 02 14:16:53 UTC 2025","passed","Tue Dec 02 14:16:53 UTC 2025","Delete entity","Exercises","",""
"","262","Create file","LMS service","Tue Dec 02 14:16:54 UTC 2025","passed","Tue Dec 02 14:16:54 UTC 2025","Create entity","Files","",""
"","15","Get file","LMS service","Tue Dec 02 14:16:55 UTC 2025","passed","Tue Dec 02 14:16:55 UTC 2025","Get entity","Files","",""
"","285","Login with correct email and password","LMS service","Tue Dec 02 14:16:48 UTC 2025","passed","Tue Dec 02 14:16:49 UTC 2025","Login","Authentication","",""
"","21","Create exercise","LMS service","Tue Dec 02 14:16:51 UTC 2025","passed","Tue Dec 02 14:16:51 UTC 2025","Create entity","Exercises","",""
"","35","Update course","LMS service","Tue Dec 02 14:16:50 UTC 2025","passed","Tue Dec 02 14:16:50 UTC 2025","Update entity","Courses","",""
"","533","Create user","LMS service","Tue Dec 02 14:16:56 UTC 2025","passed","Tue Dec 02 14:16:57 UTC 2025","Create entity","Users","",""
"","29","Create course","LMS service","Tue Dec 02 14:16:50 UTC 2025","passed","Tue Dec 02 14:16:50 UTC 2025","Create entity","Courses","",""
"","18","Get exercises","LMS service","Tue Dec 02 14:16:53 UTC 2025","passed","Tue Dec 02 14:16:53 UTC 2025","Get entities","Exercises","",""
"","288","Create user","LMS service","Tue Dec 02 14:16:57 UTC 2025","passed","Tue Dec 02 14:16:57 UTC 2025","Create entity","Users","",""
"","12","Get user me","LMS service","Tue Dec 02 14:16:58 UTC 2025","passed","Tue Dec 02 14:16:58 UTC 2025","Get entity","Users","",""
