"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","260","Create file with empty filename","LMS service","Mon Dec 01 18:46:17 UTC 2025","passed","Mon Dec 01 18:46:17 UTC 2025","Validate entity","Files","",""
"","259","Create file with empty directory","LMS service","Mon Dec 01 18:46:17 UTC 2025","passed","Mon Dec 01 18:46:18 UTC 2025","Validate entity","Files","",""
"","23","Delete file","LMS service","Mon Dec 01 18:46:18 UTC 2025","passed","Mon Dec 01 18:46:18 UTC 2025","Delete entity","Files","",""
"","14","Get file","LMS service","Mon Dec 01 18:46:17 UTC 2025","passed","Mon Dec 01 18:46:17 UTC 2025","Get entity","Files","",""
"","260","Create file","LMS service","Mon Dec 01 18:46:16 UTC 2025","passed","Mon Dec 01 18:46:16 UTC 2025","Create entity","Files","",""
"","29","Update course","LMS service","Mon Dec 01 18:46:12 UTC 2025","passed","Mon Dec 01 18:46:12 UTC 2025","Update entity","Courses","",""
"","21","Create exercise","LMS service","Mon Dec 01 18:46:13 UTC 2025","passed","Mon Dec 01 18:46:13 UTC 2025","Create entity","Exercises","",""
"","289","Update exercise","LMS service","Mon Dec 01 18:46:14 UTC 2025","passed","Mon Dec 01 18:46:14 UTC 2025","Update entity","Exercises","",""
"","13","Get user me","LMS service","Mon Dec 01 18:46:20 UTC 2025","passed","Mon Dec 01 18:46:20 UTC 2025","Get entity","Users","",""
"","17","Get exercises","LMS service","Mon Dec 01 18:46:15 UTC 2025","passed","Mon Dec 01 18:46:15 UTC 2025","Get entities","Exercises","",""
"","266","Get file with incorrect file id","LMS service","Mon Dec 01 18:46:19 UTC 2025","passed","Mon Dec 01 18:46:19 UTC 2025","Validate entity","Files","",""
"","289","Delete exercise","LMS service","Mon Dec 01 18:46:15 UTC 2025","passed","Mon Dec 01 18:46:15 UTC 2025","Delete entity","Exercises","",""
"","283","Login with correct email and password","LMS service","Mon Dec 01 18:46:10 UTC 2025","passed","Mon Dec 01 18:46:11 UTC 2025","Login","Authentication","",""
"","15","Get exercise","LMS service","Mon Dec 01 18:46:14 UTC 2025","passed","Mon Dec 01 18:46:14 UTC 2025","Get entity","Exercises","",""
"","30","Create course","LMS service","Mon Dec 01 18:46:12 UTC 2025","passed","Mon Dec 01 18:46:12 UTC 2025","Create entity","Courses","",""
"","291","Create user","LMS service","Mon Dec 01 18:46:19 UTC 2025","passed","Mon Dec 01 18:46:19 UTC 2025","Create entity","Users","",""
"","302","Get courses","LMS service","Mon Dec 01 18:46:11 UTC 2025","passed","Mon Dec 01 18:46:11 UTC 2025","Get entities","Courses","",""
"","533","Create user","LMS service","Mon Dec 01 18:46:18 UTC 2025","passed","Mon Dec 01 18:46:19 UTC 2025","Create entity","Users","",""
"","560","Create user","LMS service","Mon Dec 01 18:46:19 UTC 2025","passed","Mon Dec 01 18:46:20 UTC 2025","Create entity","Users","",""
