"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Get exercises","LMS service","Tue Dec 02 11:57:41 UTC 2025","passed","Tue Dec 02 11:57:41 UTC 2025","Get entities","Exercises","",""
"","24","Create file","LMS service","Tue Dec 02 11:57:41 UTC 2025","passed","Tue Dec 02 11:57:41 UTC 2025","Create entity","Files","",""
"","549","Create user","LMS service","Tue Dec 02 11:57:45 UTC 2025","passed","Tue Dec 02 11:57:45 UTC 2025","Create entity","Users","",""
"","285","Get file","LMS service","Tue Dec 02 11:57:43 UTC 2025","passed","Tue Dec 02 11:57:43 UTC 2025","Get entity","Files","",""
"","11","Get user me","LMS service","Tue Dec 02 11:57:46 UTC 2025","passed","Tue Dec 02 11:57:46 UTC 2025","Get entity","Users","",""
"","35","Update course","LMS service","Tue Dec 02 11:57:38 UTC 2025","passed","Tue Dec 02 11:57:38 UTC 2025","Update entity","Courses","",""
"","257","Create file with empty filename","LMS service","Tue Dec 02 11:57:42 UTC 2025","passed","Tue Dec 02 11:57:43 UTC 2025","Validate entity","Files","",""
"","26","Create exercise","LMS service","Tue Dec 02 11:57:39 UTC 2025","passed","Tue Dec 02 11:57:39 UTC 2025","Create entity","Exercises","",""
"","273","Get file with incorrect file id","LMS service","Tue Dec 02 11:57:44 UTC 2025","passed","Tue Dec 02 11:57:45 UTC 2025","Validate entity","Files","",""
"","290","Create user","LMS service","Tue Dec 02 11:57:45 UTC 2025","passed","Tue Dec 02 11:57:45 UTC 2025","Create entity","Users","",""
"","539","Create user","LMS service","Tue Dec 02 11:57:44 UTC 2025","passed","Tue Dec 02 11:57:45 UTC 2025","Create entity","Users","",""
"","31","Create course","LMS service","Tue Dec 02 11:57:38 UTC 2025","passed","Tue Dec 02 11:57:38 UTC 2025","Create entity","Courses","",""
"","26","Get courses","LMS service","Tue Dec 02 11:57:37 UTC 2025","passed","Tue Dec 02 11:57:37 UTC 2025","Get entities","Courses","",""
"","21","Update exercise","LMS service","Tue Dec 02 11:57:39 UTC 2025","passed","Tue Dec 02 11:57:39 UTC 2025","Update entity","Exercises","",""
"","548","Login with correct email and password","LMS service","Tue Dec 02 11:57:36 UTC 2025","passed","Tue Dec 02 11:57:37 UTC 2025","Login","Authentication","",""
"","21","Delete file","LMS service","Tue Dec 02 11:57:44 UTC 2025","passed","Tue Dec 02 11:57:44 UTC 2025","Delete entity","Files","",""
"","264","Create file with empty directory","LMS service","Tue Dec 02 11:57:43 UTC 2025","passed","Tue Dec 02 11:57:43 UTC 2025","Validate entity","Files","",""
"","22","Get exercise","LMS service","Tue Dec 02 11:57:40 UTC 2025","passed","Tue Dec 02 11:57:40 UTC 2025","Get entity","Exercises","",""
"","20","Delete exercise","LMS service","Tue Dec 02 11:57:40 UTC 2025","passed","Tue Dec 02 11:57:40 UTC 2025","Delete entity","Exercises","",""
