"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","265","Create file with empty directory","LMS service","Mon Feb 16 14:17:23 UTC 2026","passed","Mon Feb 16 14:17:23 UTC 2026","Validate entity","Files","",""
"","15","Get exercise","LMS service","Mon Feb 16 14:17:20 UTC 2026","passed","Mon Feb 16 14:17:20 UTC 2026","Get entity","Exercises","",""
"","28","Get courses","LMS service","Mon Feb 16 14:17:17 UTC 2026","passed","Mon Feb 16 14:17:17 UTC 2026","Get entities","Courses","",""
"","13","Get user me","LMS service","Mon Feb 16 14:17:26 UTC 2026","passed","Mon Feb 16 14:17:26 UTC 2026","Get entity","Users","",""
"","559","Create user","LMS service","Mon Feb 16 14:17:25 UTC 2026","passed","Mon Feb 16 14:17:25 UTC 2026","Create entity","Users","",""
"","261","Create file","LMS service","Mon Feb 16 14:17:21 UTC 2026","passed","Mon Feb 16 14:17:22 UTC 2026","Create entity","Files","",""
"","19","Get exercises","LMS service","Mon Feb 16 14:17:21 UTC 2026","passed","Mon Feb 16 14:17:21 UTC 2026","Get entities","Exercises","",""
"","15","Get file","LMS service","Mon Feb 16 14:17:22 UTC 2026","passed","Mon Feb 16 14:17:22 UTC 2026","Get entity","Files","",""
"","264","Create file with empty filename","LMS service","Mon Feb 16 14:17:22 UTC 2026","passed","Mon Feb 16 14:17:23 UTC 2026","Validate entity","Files","",""
"","535","Create user","LMS service","Mon Feb 16 14:17:24 UTC 2026","passed","Mon Feb 16 14:17:24 UTC 2026","Create entity","Users","",""
"","32","Create course","LMS service","Mon Feb 16 14:17:18 UTC 2026","passed","Mon Feb 16 14:17:18 UTC 2026","Create entity","Courses","",""
"","260","Get file with incorrect file id","LMS service","Mon Feb 16 14:17:24 UTC 2026","passed","Mon Feb 16 14:17:24 UTC 2026","Validate entity","Files","",""
"","30","Update course","LMS service","Mon Feb 16 14:17:17 UTC 2026","passed","Mon Feb 16 14:17:17 UTC 2026","Update entity","Courses","",""
"","290","Delete exercise","LMS service","Mon Feb 16 14:17:20 UTC 2026","passed","Mon Feb 16 14:17:21 UTC 2026","Delete entity","Exercises","",""
"","289","Create user","LMS service","Mon Feb 16 14:17:25 UTC 2026","passed","Mon Feb 16 14:17:25 UTC 2026","Create entity","Users","",""
"","22","Delete file","LMS service","Mon Feb 16 14:17:24 UTC 2026","passed","Mon Feb 16 14:17:24 UTC 2026","Delete entity","Files","",""
"","551","Login with correct email and password","LMS service","Mon Feb 16 14:17:16 UTC 2026","passed","Mon Feb 16 14:17:16 UTC 2026","Login","Authentication","",""
"","22","Create exercise","LMS service","Mon Feb 16 14:17:19 UTC 2026","passed","Mon Feb 16 14:17:19 UTC 2026","Create entity","Exercises","",""
"","293","Update exercise","LMS service","Mon Feb 16 14:17:19 UTC 2026","passed","Mon Feb 16 14:17:19 UTC 2026","Update entity","Exercises","",""
