"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","294","Delete file","LMS service","Tue Dec 02 12:29:14 UTC 2025","passed","Tue Dec 02 12:29:14 UTC 2025","Delete entity","Files","",""
"","269","Get file with incorrect file id","LMS service","Tue Dec 02 12:29:15 UTC 2025","passed","Tue Dec 02 12:29:15 UTC 2025","Validate entity","Files","",""
"","286","Login with correct email and password","LMS service","Tue Dec 02 12:29:07 UTC 2025","passed","Tue Dec 02 12:29:07 UTC 2025","Login","Authentication","",""
"","296","Update course","LMS service","Tue Dec 02 12:29:08 UTC 2025","passed","Tue Dec 02 12:29:08 UTC 2025","Update entity","Courses","",""
"","542","Create user","LMS service","Tue Dec 02 12:29:15 UTC 2025","passed","Tue Dec 02 12:29:15 UTC 2025","Create entity","Users","",""
"","259","Create file with empty filename","LMS service","Tue Dec 02 12:29:13 UTC 2025","passed","Tue Dec 02 12:29:13 UTC 2025","Validate entity","Files","",""
"","292","Create user","LMS service","Tue Dec 02 12:29:15 UTC 2025","passed","Tue Dec 02 12:29:15 UTC 2025","Create entity","Users","",""
"","11","Get user me","LMS service","Tue Dec 02 12:29:16 UTC 2025","passed","Tue Dec 02 12:29:16 UTC 2025","Get entity","Users","",""
"","18","Get exercise","LMS service","Tue Dec 02 12:29:11 UTC 2025","passed","Tue Dec 02 12:29:11 UTC 2025","Get entity","Exercises","",""
"","266","Create file with empty directory","LMS service","Tue Dec 02 12:29:14 UTC 2025","passed","Tue Dec 02 12:29:14 UTC 2025","Validate entity","Files","",""
"","560","Create user","LMS service","Tue Dec 02 12:29:15 UTC 2025","passed","Tue Dec 02 12:29:16 UTC 2025","Create entity","Users","",""
"","18","Update exercise","LMS service","Tue Dec 02 12:29:10 UTC 2025","passed","Tue Dec 02 12:29:10 UTC 2025","Update entity","Exercises","",""
"","18","Create file","LMS service","Tue Dec 02 12:29:12 UTC 2025","passed","Tue Dec 02 12:29:12 UTC 2025","Create entity","Files","",""
"","17","Get file","LMS service","Tue Dec 02 12:29:13 UTC 2025","passed","Tue Dec 02 12:29:13 UTC 2025","Get entity","Files","",""
"","29","Create course","LMS service","Tue Dec 02 12:29:08 UTC 2025","passed","Tue Dec 02 12:29:08 UTC 2025","Create entity","Courses","",""
"","19","Delete exercise","LMS service","Tue Dec 02 12:29:11 UTC 2025","passed","Tue Dec 02 12:29:11 UTC 2025","Delete entity","Exercises","",""
"","20","Get exercises","LMS service","Tue Dec 02 12:29:12 UTC 2025","passed","Tue Dec 02 12:29:12 UTC 2025","Get entities","Exercises","",""
"","26","Get courses","LMS service","Tue Dec 02 12:29:07 UTC 2025","passed","Tue Dec 02 12:29:07 UTC 2025","Get entities","Courses","",""
"","22","Create exercise","LMS service","Tue Dec 02 12:29:10 UTC 2025","passed","Tue Dec 02 12:29:10 UTC 2025","Create entity","Exercises","",""
